name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group
SHAUN THE SHEEP,DS,2008,Adventure,0.04,0.0,0.0,0.0,58.0,75.0,E,0.04,Nintendo
BATTLEZONE,PS4,2016,Action,0.02,0.02,0.0,0.01,66.0,70.0,T,0.05,Playstation
IQ REMIX+ INTELLIGENT QUBE,PS2,2000,Puzzle,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
GROWLANSER,PSP,2009,Role-Playing,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
CARD FIGHT!! VANGUARD G STRIDE TO VICTORY!!,3DS,2016,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
TROLLZ HAIR AFFAIR!,GBA,2005,Misc,0.03,0.01,0.0,0.0,71.0,75.0,,0.04,Nintendo
DAITO GIKEN KOUSHIKI PACHI-SLOT SIMULATOR SHAKE II,PS2,2007,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
GRAND SLAM,PS,1997,Misc,0.02,0.02,0.0,0.0,71.0,75.0,,0.04,Playstation
CHOU GEKIJOBAN KERORO GUNSOU GEKISHIN DRAGON WARRIORS DE ARIMASU!,DS,2009,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
THE KING OF FIGHTERS 2000,PS2,2002,Fighting,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
HYPERDIMENSION NEPTUNIA MK2,PSV,2014,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
PRO EVOLUTION SOCCER 2016,PC,2015,Sports,0.0,0.04,0.0,0.0,76.0,43.0,E,0.04,PC
THE DARK SPIRE,DS,2008,Role-Playing,0.04,0.0,0.0,0.0,69.0,77.0,E10+,0.04,Nintendo
TEENAGE MUTANT NINJA TURTLES MUTANTS IN MANHATTAN,XOne,2016,Action,0.03,0.01,0.0,0.0,55.0,60.0,T,0.04,Xbox
PUYO PUYO TETRIS,PS3,2014,Puzzle,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
DCFS DA CAPO FOUR SEASONS,PS2,2005,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
RUNAWAY A TWIST OF FATE,PC,2009,Adventure,0.0,0.04,0.0,0.01,79.0,82.0,T,0.05,PC
DISNEY'S MEET THE ROBINSONS,GC,2007,Action,0.03,0.01,0.0,0.0,68.0,75.0,E10+,0.04,Nintendo
HANAYORI DANSHI KOI SEYO ONAGO,DS,2008,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
REFRAIN NO CHIKA MEIKYUU TO MAJO NO RYODAN,PSV,2016,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
MINNA GA SHUYAKU NO NHK KOUHAKU QUIZ KASSEN,Wii,2009,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
DISNEY PLANES FIRE & RESCUE,Wii,2014,Action,0.0,0.04,0.0,0.0,71.0,75.0,,0.04,Nintendo
SONIC THE HEDGEHOG 2 (8-BIT),GG,1992,Platform,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Other
FLATOUT 2,XB,2006,Racing,0.03,0.01,0.0,0.0,73.0,73.0,T,0.04,Xbox
GEM SMASHERS,3DS,2011,Platform,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
ROGUE TROOPER,PS2,2006,Shooter,0.02,0.02,0.0,0.01,71.0,82.0,T,0.05,Playstation
BACKYARD BASEBALL '09,Wii,2008,Sports,0.04,0.0,0.0,0.0,37.0,78.0,E,0.04,Nintendo
SPY FICTION,PS2,2003,Action,0.02,0.02,0.0,0.01,61.0,75.0,M,0.05,Playstation
